GENE;L-O-1;L-O-2;L-O-3;D-O-1;D-O-2;D-O-3;D-A-4;D-A-5;D-A-2
cds1787-hypothetical-protein;77;10;247;424;85;73;345;727;263
cds1788-hypothetical-protein-WH5701_13775;368;76;1008;1385;307;291;1194;3032;1106
cds1789-6-phosphogluconolactonase;166;21;512;824;199;211;821;1776;774
cds178-DUF565-domain-containing-protein;187;29;430;735;121;133;594;1002;490
cds1790;131;12;389;458;112;132;550;1422;556
cds1791;641;111;1795;2338;598;522;2735;7331;1908
cds1792-glucose-1-phosphate-adenylyltransferase;2235;523;2762;2673;640;565;3151;7227;2055
cds1793-glutamyl-tRNA-reductase;975;223;1875;1542;312;337;1387;2853;1195
cds1794-class-II-fructose-bisphosphatase;1895;512;2699;2111;388;439;1882;4190;1270
cds1795-ribulose-phosphate-3-epimerase;360;76;973;1452;310;305;1454;2812;725
cds1796-c-type-cytochrome-biogenesis-protein-CcsB;678;167;1615;1696;361;376;1852;4706;1316
cds1797-possible-permease;1230;157;1882;2243;378;414;2402;5750;1605
cds1798-LPS-export-ABC-transporter-ATP-binding-protein;453;89;1020;1269;225;260;1206;3169;963
cds1799-hypothetical-protein;463;126;954;1022;255;237;1366;2905;868
cds179-aspartate-carbamoyltransferase-catalytic-subunit;448;37;1000;1640;387;429;1322;3620;1790
cds17-hypothetical-protein-WH5701_00560;517;145;1262;1440;400;427;1812;3754;1213
cds1800-DUF309-domain-containing-protein;339;36;538;722;143;148;615;1326;650
cds1801-translational-GTPase-TypA;11101;2898;12305;3576;819;763;3624;8207;2643
cds1802-D-alanyl-D-alanine-carboxypeptidase-family-protein;287;55;917;1264;331;233;1328;3490;978
cds1803;39;3;102;250;41;37;202;629;166
cds1804-geranylgeranyl-reductase;5217;1393;5709;2375;456;539;2643;5376;1710
cds1805-glycine--tRNA-ligase-subunit-beta;863;113;2185;3360;732;757;3087;6727;2720
cds1806-sulfite-reductase,-ferredoxin-dependent;1102;227;2397;3563;596;730;3013;7680;2494
cds1807-hypothetical-protein;110;22;475;533;171;144;568;1174;561
cds1808-D-alanyl-D-alanine-dipeptidase;398;29;939;1353;338;350;1407;3886;1225
cds1809;545;56;1772;2648;622;596;2857;6063;2731
cds180-DNA-3-methyladenine-glycosylase;268;31;639;1196;189;252;989;2301;840
cds1810;141;21;454;588;150;137;520;837;578
cds1811-hypothetical-protein-WH5701_13675;657;84;1397;2174;367;405;2002;4403;1920
cds1812-translation-elongation-factor-Ts;1442;429;1797;1476;313;265;1680;3917;902
cds1813-30S-ribosomal-protein-S2;1169;314;2062;1365;329;332;1270;3062;1113
cds1814-glycosyltransferase;725;256;1885;2135;535;534;2533;5976;1928
cds1815-MULTISPECIES:-hypothetical-protein;352;68;711;583;192;143;612;1338;321
cds1816-ATP-binding-cassette-domain-containing-protein;284;81;796;1130;235;258;1179;2330;990
cds1817;188;7;379;578;167;149;481;804;590
cds1818;346;51;1062;1783;342;281;1351;3008;1010
cds1819-HlyD-family-efflux-transporter-periplasmic-adaptor-subunit;250;59;1104;1646;325;305;1826;4770;1309
cds181-hypothetical-protein;528;122;1028;517;83;105;420;930;325
cds1820-phycocyanobilin:ferredoxin-oxidoreductase;386;52;1170;1241;287;316;1226;2640;1012
cds1821-insulinase-family-protein;551;98;1532;2190;460;499;2467;4970;1757
cds1822-insulinase-family-protein;651;69;1505;2059;473;415;1881;5080;1682
cds1823;79;12;312;442;136;112;503;1107;335
cds1824-biotin-transporter-BioY;343;41;1136;1610;400;370;1604;4409;1434
cds1825-signal-peptidase-II;334;67;908;1663;238;268;1521;3514;1132
cds1826-FHA-domain-containing-protein;1025;170;3352;4520;1432;1527;6163;15385;4155
cds1827-DUF697-domain-containing-protein;1190;329;2974;3180;1095;920;3916;10392;3574
cds1828-aspartate-aminotransferase-family-protein;686;94;1814;2575;618;669;2600;6276;2218
cds1829-nucleoside-deaminase;311;25;650;965;250;230;1055;2265;742
cds182-hypothetical-protein;424;62;974;517;127;116;377;916;363
cds1830-alanine--glyoxylate-aminotransferase-family-protein;1175;307;2313;2302;740;736;2716;6707;2192
cds1831-allophycocyanin-subunit-beta-18;1241;288;1339;1224;211;207;1084;2270;798
cds1832;214;31;477;833;100;147;634;1141;626
cds1833;717;167;1733;1524;288;284;1553;3157;1105
cds1834;69;16;371;519;105;90;670;1406;510
cds1835-methyltransferase-domain-containing-protein;448;80;1355;1967;420;470;2179;6089;1674
cds1836-copper-binding-protein;289;69;777;739;223;241;988;2026;725
cds1837-hypothetical-protein-WH5701_13560;130;19;334;492;118;134;430;771;419
cds1838;96;9;320;419;72;119;396;1045;322
cds1839-ATP-binding-protein;217;23;541;554;91;116;508;903;479
cds183-creatininase-family-protein;467;35;1195;1980;374;447;1825;5263;1471
cds1840;137;25;336;585;86;108;491;1270;426
cds1841;202;36;544;948;153;169;1073;2573;655
cds1842;207;47;526;1064;200;204;1191;2457;778
cds1843;242;22;757;1191;270;255;1105;3020;983
cds1844-photosystem-II-reaction-center-protein-Psb28;787;170;1539;876;217;181;806;2320;582
cds1845-AI-2E-family-transporter;492;138;1644;2486;532;485;2333;7373;1896
cds1846-AI-2E-family-transporter;388;47;1089;1542;372;374;1510;3050;1350
cds1847-hypothetical-protein;48;6;170;263;43;64;252;423;207
cds1848-protein-translocase-subunit-SecF;481;81;1281;1969;408;372;1797;4528;1506
cds1849-protein-translocase-subunit-SecD;1612;314;3675;3518;1159;1060;4304;11292;2947
cds184-glutamyl-tRNA-amidotransferase;291;79;562;498;136;117;443;1141;447
cds1850-pyruvate-dehydrogenase-subunit-beta;1247;430;2093;2008;420;448;2318;5489;1892
cds1851-hypothetical-protein-WH5701_13500;88;21;195;214;69;56;247;600;235
cds1852-DUF3082-domain-containing-protein;275;37;714;613;282;278;1092;2911;733
cds1853-4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol-kinase;399;39;1079;1720;360;377;1608;4049;1542
cds1854;127;17;381;466;126;121;694;1707;491
cds1855;201;20;528;958;191;199;909;2141;778
cds1856;160;18;661;593;192;209;881;2002;622
cds1857;103;7;311;605;129;156;754;2167;521
cds1858-recombinase;610;51;1946;2868;623;639;3582;8443;2421
cds1859;317;48;1172;1297;384;322;2028;4890;1104
cds185-beta-carotene-hydroxylase;1196;235;2583;2550;781;603;3389;8637;1803
cds1860;223;28;454;741;249;200;1060;1747;641
cds1861;1061;160;3255;4232;897;1005;5034;12269;3453
cds1862;157;16;390;519;90;107;530;1074;405
cds1863;468;96;1254;1295;266;237;1641;3039;1312
cds1864-hypothetical-protein;305;29;665;895;151;184;637;1265;617
cds1865-hypothetical-protein-CPCC7001_374;225;10;554;1276;147;188;1014;1917;774
cds1866;81;9;222;432;64;100;275;642;293
cds1867-hypothetical-protein;587;112;2177;2762;946;851;3993;10181;2704
cds1868;169;19;536;815;208;216;971;2464;608
cds1869;297;17;875;1573;258;261;1469;3005;1219
cds186-MFS-transporter;417;51;1475;2570;516;515;2814;7898;1897
cds1870-type-I-restriction-modification-system-subunit-R;645;61;1095;1797;316;319;1685;4478;1106
cds1871;546;117;1023;1112;293;248;1558;4013;849
cds1872-hypothetical-protein;313;40;886;1050;256;259;843;1816;854
cds1873-hypothetical-protein;247;21;668;1157;181;212;1111;2177;877
cds1874-hypothetical-protein;877;96;1340;2472;336;404;2156;4289;1523
cds1875-hypothetical-protein;658;146;1207;1239;261;292;1592;3823;894
cds1876;1369;229;2545;1839;844;752;4153;9437;1709
cds1877-hypothetical-protein;2013;339;5193;5880;1744;1698;8375;22018;5104
cds1878-hypothetical-protein;773;89;1790;2639;539;497;2876;7052;1851
cds1879-hypothetical-protein;298;52;726;878;257;309;1247;2433;801
cds187-type-I-glyceraldehyde-3-phosphate-dehydrogenase;430;50;973;1953;337;316;1804;3488;1450
cds1880-hypothetical-protein;759;94;1587;2222;545;559;2409;6079;1961
cds1881;2664;440;2547;1432;308;370;1586;3179;1096
cds1882;150;23;468;574;148;109;792;2051;509
cds1883;79;18;292;457;119;103;599;1267;371
cds1884-hypothetical-protein;437;55;935;1636;224;263;1853;3803;834
cds1885;283;28;577;962;153;157;1056;1743;672
cds1886-TM0106-family-RecB-like-putative-nuclease;1184;116;3827;5772;1290;1253;6637;14460;4861
cds1887;80;4;275;290;59;68;755;1202;242
cds1888-hypothetical-protein;2360;310;3978;3942;870;830;4916;10562;2410
cds1889-DEAD/DEAH-box-helicase;1238;190;3192;4068;1034;929;5264;11464;2711
cds188-ACR3-family-arsenite-efflux-transporter;371;53;980;2069;292;333;1348;3148;1164
cds189;347;91;1174;1332;652;526;2423;6191;1208
cds1890-response-regulator-transcription-factor;200;25;666;1211;147;176;943;1466;819
cds1891;64;6;232;374;130;88;504;1467;313
cds1892;99;12;316;576;96;108;567;1106;454
cds1893;162;18;383;595;114;94;411;1020;408
cds1894;43;2;132;278;22;45;191;533;189
cds1895;903;156;2592;3254;1135;899;4770;10596;2663
cds1896;1609;117;1278;1160;216;263;1391;2408;663
cds1897;112;23;205;479;64;99;586;1666;259
cds1898;106;16;189;344;62;44;315;530;191
cds1899;75;17;275;288;117;106;638;1106;312
cds18-BtpA/SgcQ-family-protein;383;56;1267;1995;422;378;2219;4942;1518
cds1900-pentapeptide-repeat-containing-protein;366;67;772;1145;235;221;1066;2609;1004
cds1901-hypothetical-protein;229;29;985;1123;442;312;1747;3748;1182
cds1902-ATPase;387;43;1168;1736;277;344;1510;3332;1552
cds1903-multidrug-ABC-transporter-permease;324;34;989;1256;302;352;1687;4106;1092
cds1904;597;55;1749;2815;583;592;2500;6099;2502
cds1905-lytic-transglycosylase;756;106;1923;2195;609;615;2467;5894;1768
cds1906-hypothetical-protein;174;46;497;745;81;112;592;1184;553
cds1907-aminoglycoside-phosphotransferase-family-protein;355;39;1059;1770;324;359;1510;3244;1161
cds1908-DOMON-like-domain-containing-protein;315;73;898;1219;200;225;1037;2301;883
cds1909-Nif11-like-leader-peptide-family-natural-product-precursor;125;4;261;357;59;63;286;480;354
cds190-HAMP-domain-containing-histidine-kinase;935;204;2195;2561;787;852;3219;7163;2810
cds1910;138;26;483;707;186;139;920;1723;677
cds1911-3-dehydroquinate-synthase;640;118;1808;2249;592;601;2243;5319;2134
cds1912-DNA-helicase-RecQ;710;58;2155;3311;691;713;3116;6855;2921
cds1913-sugar-ABC-transporter-permease;590;147;1635;2026;567;509;2010;4714;1824
cds1914-5-(carboxyamino)imidazole-ribonucleotide-synthase;645;160;1733;2369;620;625;2655;5038;2197
cds1915-hypothetical-protein;146;16;386;456;100;103;555;818;408
cds1916-hypothetical-protein;81;16;256;326;50;77;308;719;294
cds1917-ATP-dependent-Clp-protease-adapter-ClpS;117;23;454;599;132;157;627;1578;548
cds1918-cytochrome-b6-f-complex-subunit-PetN;356;105;565;489;126;91;555;1622;281
cds1919-ATP-dependent-Clp-protease-adaptor-protein-ClpS;230;51;541;529;129;106;555;1236;451
cds191-response-regulator-transcription-factor;264;32;681;1232;155;226;953;2173;807
cds1920-hypothetical-protein;521;93;1938;2587;665;658;2693;6920;2491
cds1921-photosystem-II-biogenesis-protein-Psp29;1267;415;2295;1904;522;463;2509;6286;1718
cds1922-ATP-dependent-Clp-endopeptidase-proteolytic-subunit-ClpP;1009;187;1185;1055;205;197;956;2055;706
cds1923-hypothetical-protein;97;14;159;265;13;25;134;362;117
cds1924-ATP-dependent-zinc-metalloprotease-FtsH;1975;752;4695;4063;888;933;3652;7922;2941
cds1925-hypothetical-protein-WH5701_13330;526;108;1094;1048;302;237;1512;3714;864
cds1926-FtsX-like-permease-family-protein;801;149;1966;2777;541;525;2380;5643;2035
cds1927-pyruvate-kinase;1017;151;2187;3011;536;568;3027;6557;2308
cds1928-hypothetical-protein;249;37;800;973;486;340;1627;4456;1057
cds1929-hypothetical-protein-WH5701_13310;237;54;626;991;202;234;971;2503;665
cds192-Crp/Fnr-family-transcriptional-regulator;260;31;639;1148;160;211;1227;2331;895
cds19-30S-ribosomal-protein-S12-methylthiotransferase-RimO;1035;317;2330;2308;507;521;2224;4934;1944
cds1930-YggT-family-protein;291;36;644;504;87;147;488;1500;450
cds1931-SMC-Scp-complex-subunit-ScpB;298;39;552;806;144;191;785;1763;658
cds1932-threonine-ammonia-lyase,-biosynthetic;941;208;2434;3146;742;753;3565;8516;2451
cds1933-1-deoxy-D-xylulose-5-phosphate-synthase;1230;341;2662;2963;571;567;2773;6810;2365
cds1934-photosystem-I-reaction-center-subunit-PsaK;363;37;761;631;130;127;518;904;482
cds1935-DUF3593-domain-containing-protein;219;36;950;792;303;317;1230;2961;818
cds1936-DUF2499-domain-containing-protein;92;10;308;524;116;97;415;1313;512
cds1937-high-light-inducible-protein;100;5;305;429;74;65;328;645;256
cds1938-polysaccharide-pyruvyl-transferase-CsaB;383;41;1339;1593;420;373;1289;3128;1605
cds1939-peroxiredoxin;270;32;804;921;228;196;838;2225;876
cds193-Nif11-family-protein;449;66;866;626;172;151;819;1634;578
cds1940-50S-ribosomal-protein-L28;1887;326;2509;677;175;148;553;958;412
cds1941-molecular-chaperone-HtpG;3934;1332;10774;3759;3299;2135;4498;11070;3048
cds1942;187;65;497;764;147;135;784;1576;528
cds1943-MULTISPECIES:-ferredoxin-family-protein;252;32;381;361;54;82;288;644;275
cds1944-ATP-phosphoribosyltransferase-regulatory-subunit;458;29;1312;1895;482;447;1836;4388;1708
cds1945-inositol-monophosphatase;552;78;1519;1820;561;553;2248;4704;1532
cds1946-2Fe-2S-iron-sulfur-cluster-binding-domain-containing-protein;435;77;1025;881;314;319;927;2144;920
cds1947-phosphate-ABC-transporter-ATP-binding-protein;962;153;1613;1584;355;472;2203;6031;1224
cds1948-phosphate-ABC-transporter-permease-PstA;1244;310;2597;1913;853;707;2815;7288;1895
cds1949;291;33;454;555;98;63;429;680;346
cds194-chromosome-partitioning-protein-ParB;293;38;608;1083;204;244;1063;2536;934
cds1950;433;88;1233;1327;306;227;1711;3730;1094
cds1951;636;141;1970;2152;847;844;2859;6786;1913
cds1952;410;68;1052;1607;279;325;1361;3570;1402
cds1953-molecular-chaperone-DnaJ;369;40;1074;1924;312;379;1624;3903;1371
cds1954-DUF3110-domain-containing-protein;618;113;1436;1264;390;352;1886;4417;1131
cds1955;337;53;834;1133;263;262;1286;3683;1071
cds1956-S-methyl-5'-thioadenosine-phosphorylase;442;40;1103;1797;308;334;1802;4450;1612
cds1957-peptidylprolyl-isomerase;432;90;648;865;152;151;556;1264;663
cds1958-bifunctional-3,4-dihydroxy-2-butanone-4-phosphate-synthase-RibB/GTP-cyclohydrolase-II-RibA;660;123;1753;2572;493;519;2150;4848;1913
cds1959-N-acetyl-gamma-glutamyl-phosphate-reductase;358;48;993;1876;368;310;1914;4613;1569
cds195-DUF1611-domain-containing-protein;510;76;1442;2048;560;538;2010;4215;1745
cds1960-phosphoribosylglycinamide-formyltransferase;211;43;510;978;120;187;753;1623;687
cds1961;89;11;325;389;86;66;384;1145;296
cds1962-DUF1257-domain-containing-protein;177;30;422;542;126;136;508;1110;386
cds1963-M61-family-peptidase;645;45;1554;2516;480;507;2242;5268;2010
cds1964-N-acetylmuramoyl-L-alanine-amidase;352;61;1503;1847;502;498;2352;5447;1670
cds1965-hypothetical-protein;686;167;1635;1871;456;414;2091;4251;1842
cds1966-glucose-6-phosphate-isomerase;556;65;1615;2319;382;493;1907;4353;2045
cds1967-S-(hydroxymethyl)glutathione-dehydrogenase/class-III-alcohol-dehydrogenase;530;94;1207;2158;457;426;2216;5727;1911
cds1968-S-formylglutathione-hydrolase;335;53;1249;1632;372;340;1897;5306;1372
cds1969-leucine--tRNA-ligase;1516;284;3938;5200;1244;1348;5164;12201;4127
cds196-alanine/ornithine-racemase-family-PLP-dependent-enzyme;408;42;1051;1693;356;422;1745;4063;1595
cds1970-diaminopimelate-epimerase;1087;365;2643;3204;835;686;3115;7219;2571
cds1971-cysteine-desulfurase;250;27;1016;1445;418;348;1372;3713;1326
cds1972;48;11;152;224;48;44;164;262;204
cds1973-DUF1995-family-protein;249;26;850;1289;242;256;1152;2649;964
cds1974-DUF4330-domain-containing-protein;316;45;729;951;168;211;760;1691;740
cds1975;333;57;908;1101;342;329;1319;2707;1107
cds1976;390;55;613;854;187;227;901;2627;707
cds1977-hypothetical-protein;854;226;1121;1429;211;230;1237;2737;884
cds1978-pantetheine-phosphate-adenylyltransferase;141;15;454;770;148;151;799;1604;599
cds1979-flavin-reductase;449;88;1064;1131;211;222;1355;2884;886
cds197-hypothetical-protein;293;67;915;1113;277;322;1324;3715;1038
cds1980-excinuclease-ABC-subunit-UvrC;1048;127;2620;3815;699;827;3607;8578;2788
cds1981-protoporphyrinogen-oxidase-HemJ;263;33;904;990;210;272;1119;3091;1011
cds1982-PHP-domain-containing-protein;245;29;703;1231;261;300;1197;3345;980
cds1983-hypothetical-protein;4465;592;4013;1287;375;334;1439;3242;914
cds1984-cobaltochelatase-subunit-CobN;2172;351;5230;6109;1561;1578;6842;15339;6064
cds1985-branched-chain-amino-acid-transaminase;549;80;1098;1704;330;337;1379;3216;1410
cds1986-methionine-synthase;2282;293;4916;6710;1220;1333;6439;14102;4680
cds1987-DUF4090-family-protein;129;39;284;528;64;76;427;1010;270
cds1988-hypothetical-protein;940;292;938;489;66;73;425;799;384
cds1989;139;20;485;603;102;117;547;1452;460
cds198-hypothetical-protein;279;28;703;1263;251;246;1158;3169;878
cds1990-SDR-family-NAD(P)-dependent-oxidoreductase;227;23;660;1034;268;191;1083;2596;876
cds1991-NAD(P)H-dependent-glycerol-3-phosphate-dehydrogenase;401;41;1016;1433;317;376;1221;2665;1275
cds1992-PhzF-family-phenazine-biosynthesis-protein;352;42;957;1565;314;295;1534;3925;1337
cds1993-SpoIID/LytB-domain-containing-protein;533;130;1491;2139;426;471;2204;5268;2063
cds1994-ATP-adenylyltransferase;372;69;1289;1563;560;478;2150;5865;1661
cds1995-sigma-70-family-RNA-polymerase-sigma-factor;412;90;1086;1460;314;320;1519;3598;1175
cds1996-sigma-factor-SigF;120;30;424;515;151;140;526;999;474
cds1997-DUF3370-family-protein;1935;608;4609;4463;1249;1065;5509;12240;3678
cds1998-J-domain-containing-protein;458;70;1443;1750;389;434;1906;4732;1456
cds1999-allophycocyanin;1047;131;1644;980;199;184;960;2490;570
cds199-isoleucine--tRNA-ligase;1337;156;3514;5613;1148;1294;5711;13672;4523
cds2000-23S-rRNA-(uracil(1939)-C(5))-methyltransferase-RlmD;563;66;1424;2117;513;442;2129;5269;1891
cds2001;639;103;1352;1743;587;553;1976;5516;1705
cds2002;591;96;1513;2087;368;399;1720;3622;1541
cds2003-MULTISPECIES:-50S-ribosomal-protein-L33;863;243;1329;424;69;57;434;700;297
cds2004-30S-ribosomal-protein-S18;1113;208;1548;584;302;230;981;3358;444
cds2005;438;80;1200;1531;309;351;1099;2582;1176
cds2006;282;24;914;1397;315;371;1253;2861;1286
cds2007-FAD-dependent-oxidoreductase;705;72;2291;3025;761;751;3126;8039;2503
cds2008-methionine--tRNA-ligase;657;98;1970;2893;713;727;3286;7492;2355
cds2009-LPS-export-ABC-transporter-periplasmic-protein-LptC;548;166;1552;2056;486;463;2212;5359;1594
cds200-hypothetical-protein;94;22;318;409;141;110;546;1218;412
cds2010-cofactor-assembly-of-complex-C-subunit-B;311;29;896;1337;351;372;1481;3447;1370
cds2011-hypothetical-protein;150;19;480;670;121;114;548;1303;501
cds2012-hypothetical-protein;270;45;709;938;202;212;1025;2149;742
cds2013-proton-extrusion-protein-PcxA;447;61;1301;1726;429;365;2386;5112;1256
cds2014-bifunctional-adenosylcobinamide-kinase/adenosylcobinamide-phosphate-guanylyltransferase;54;10;170;325;66;60;232;480;370
cds2015-tRNA-(cytidine(34)-2'-O)-methyltransferase;794;122;1012;655;161;177;437;1111;511
cds2016-LysM-peptidoglycan-binding-domain-containing-protein;2994;1267;6640;2396;724;775;2785;5609;2137
cds2017-hypothetical-protein;260;70;643;925;182;229;833;2020;650
cds2018-peroxiredoxin;1810;600;3711;1116;595;512;1298;3294;1011
cds2019-phosphoribosylformylglycinamidine-synthase-subunit-PurQ;530;201;1256;1394;300;301;1686;4163;1010
cds201-DUF3177-family-protein;578;141;1496;1999;400;379;1873;6029;1595
cds2020-phosphoribosylformylglycinamidine-synthase-subunit-PurS;448;181;1063;626;157;104;536;1204;461
cds2021-hypothetical-protein;410;181;1300;858;276;310;1224;3040;869
cds2022-cobalamin-biosynthesis-protein-CobW;532;88;1388;1697;436;486;1682;4333;1614
cds2023-hydantoin-utilization-protein-A;396;158;1171;1500;274;256;1327;2991;1100
cds2024-pentapeptide-repeat-containing-protein;484;73;1249;1499;295;345;1367;3391;1452
cds2025;240;83;1048;1290;440;366;1766;3470;1130
cds2026-3-phosphoshikimate-1-carboxyvinyltransferase;981;225;2044;2893;656;673;2887;7739;2583
cds2027-SAM-dependent-methyltransferase;390;31;1146;1932;415;409;1844;5159;1447
cds2028-bifunctional-UDP-N-acetylglucosamine-diphosphorylase/glucosamine-1-phosphate-N-acetyltransferase-GlmU;528;75;1272;1853;425;452;1819;4050;1523
cds2029;465;52;1206;2046;398;494;1747;3841;1917
cds202-hypothetical-protein;602;123;1940;1910;633;534;2594;5088;1907
cds2030-hypothetical-protein;321;45;925;1653;255;281;1314;3154;947
cds2031-glycogen-synthase-GlgA;906;168;2083;2993;588;542;2913;6161;2247
cds2032-hypothetical-protein-WH5701_12803;383;64;1146;1527;382;437;1989;4275;1242
cds2033-hypothetical-protein;164;19;475;659;174;177;788;1916;593
cds2034-1,4-dihydroxy-2-naphthoyl-CoA-synthase;446;68;1338;2377;426;375;2012;5325;1819
cds2035-2-succinyl-5-enolpyruvyl-6-hydroxy-3--cyclohexene-1-carboxylic-acid-synthase;738;71;2131;2804;837;844;3269;6592;2532
cds2036-signal-peptidase-I;161;25;616;834;276;274;1208;2491;873
cds2037-DUF760-domain-containing-protein;6961;1456;19550;676;1863;614;437;1532;394
cds2038-DUF4336-domain-containing-protein;586;94;1489;1908;412;455;1622;4591;1805
cds2039-metal-ABC-transporter-permease;515;110;1345;1774;402;398;2230;5394;1554
cds203-tRNA-(guanosine(46)-N7)-methyltransferase-TrmB;527;51;1183;1420;398;402;1804;4072;1476
cds2040-metal-ABC-transporter-ATP-binding-protein;282;44;730;1336;202;199;1217;2746;1110
cds2041-metal-ABC-transporter-substrate-binding-protein;524;116;1462;1696;427;374;1927;4471;1323
cds2042-photosystem-II-q(b)-protein;18162;6472;16628;2289;877;764;2764;7536;2067
cds2043;347;30;825;872;181;216;717;1569;763
cds2044;235;37;681;1044;216;212;1084;2491;939
cds2045-hypothetical-protein;257;24;836;1090;261;279;1059;2202;1064
cds2046-hypothetical-protein;272;44;962;1222;262;245;1282;3404;869
cds2047-tryptophan--tRNA-ligase;834;160;1807;2374;639;453;2833;6764;1818
cds2048-hypothetical-protein;346;67;1240;1707;502;460;2180;6143;1515
cds2049-TM2-domain-containing-protein;251;59;786;876;240;240;1016;2804;762
cds204-putative-bicarbonate-transporter,-IctB-family;515;70;1485;2364;528;544;2430;6201;2161
cds2050-DUF2605-domain-containing-protein;169;52;588;705;129;102;674;1515;571
cds2051-Threonyl-tRNA-synthetase,-class-IIa;962;173;1817;3060;516;530;2543;5793;2133
cds2052-glucokinase;567;81;1446;2339;583;481;2351;6241;1928
cds2053-homoserine-kinase;881;216;1777;1770;463;408;2115;4297;1508
cds2054-NADH-quinone-oxidoreductase-subunit-M;1037;139;2739;3115;892;722;3399;8879;2703
cds2055-M3-family-peptidase;793;133;2448;3225;827;813;3215;8852;2780
cds2056-alpha/beta-fold-hydrolase;227;43;762;963;244;269;875;1996;985
cds2057-dihydroneopterin-aldolase;110;18;318;602;95;135;494;1131;482
cds2058;423;87;931;1674;272;301;1675;3976;1237
cds2059;335;106;824;1255;227;200;1009;1973;886
cds205-hypothetical-protein;461;51;1083;1834;358;295;1565;4153;1697
cds2060-ROK-family-protein;420;77;1466;1922;591;530;2207;5963;2030
cds2061;1331;188;3999;5970;1472;1475;7073;16211;4893
cds2062;554;85;1691;2391;522;545;2355;6803;2229
cds2063-hypothetical-protein;247;54;648;980;153;193;935;2344;831
cds2064-DUF4332-domain-containing-protein;220;21;874;868;315;260;996;2605;780
cds2065-hypothetical-protein;323;111;1166;631;239;220;1078;2340;763
cds2066-CocE/NonD-family-hydrolase;1221;622;3089;3072;792;743;3341;8796;2918
cds2067-DUF3887-domain-containing-protein;547;95;1196;1138;340;312;1329;3291;939
cds2068-1,4-alpha-glucan-branching-protein-GlgB;2568;371;3653;3507;674;823;3688;8519;2536
cds2069-uroporphyrinogen-decarboxylase;1227;260;1611;1688;358;398;1556;4142;1196
cds206-phosphoglucosamine-mutase;619;101;1824;2553;614;589;2822;5881;2160
cds207;251;24;905;995;338;419;1646;3520;1247
cds2070-NAD(P)-dependent-oxidoreductase;490;58;1123;1476;308;344;1357;3523;1341
cds2071-plastocyanin-precursor;1465;410;2010;961;286;243;1142;2488;680
cds2072-c-type-cytochrome;274;33;618;868;247;240;1049;1659;698
cds2073-hypothetical-protein;110;10;405;659;137;154;537;1410;457
cds2074-hypothetical-protein;71;6;163;268;22;43;111;149;176
cds2075-hypothetical-protein;376;84;1058;1277;338;281;1822;4360;1008
cds2076-ATP-dependent-chaperone-ClpB;2863;2057;14530;5034;4178;4136;3589;7935;2935
cds2077-glucose-1-phosphate-thymidylyltransferase;450;150;1713;1643;489;520;1462;3799;1737
cds2078-dTDP-4-dehydrorhamnose-reductase;559;94;1488;2396;734;617;2932;7795;2077
cds2079-dTDP-glucose-4,6-dehydratase;846;171;2450;2143;736;596;2638;7141;1717
cds208;395;48;1276;1716;400;409;2048;4538;1722
cds2080-dTDP-4-dehydrorhamnose-3,5-epimerase;749;154;1136;1046;254;271;1363;3546;717
cds2081-exodeoxyribonuclease-III;462;66;1056;1379;257;284;1149;2853;1200
cds2082;1114;288;3062;2489;1094;1232;3364;10575;2339
cds2083-hypothetical-protein;382;126;1079;1235;292;262;1369;3199;1218
cds2084-hypothetical-protein;221;28;748;1020;239;302;945;2757;1067
cds2085-nickel-pincer-cofactor-biosynthesis-protein-LarC;344;53;1213;1935;477;467;2226;5127;1963
cds2086-hypothetical-protein;308;39;895;1897;329;407;1573;3637;1449
cds2087-transcriptional-repressor;428;100;1128;1413;372;315;1244;3206;751
cds2088-Crp/Fnr-family-transcriptional-regulator;391;76;1471;1681;563;592;2403;5025;1509
cds2089-esterase-like-activity-of-phytase-family-protein;348;26;896;1293;360;367;1457;3414;1246
cds2090-putative-iron-ABC-transporter;746;177;2547;4248;989;864;4482;11169;3590
cds2091-extracellular-solute-binding-protein;392;38;1091;2143;413;384;2389;5196;1591
cds2092;159;21;428;700;143;181;651;1796;625
cds2093;377;35;1337;1913;529;412;1975;4578;1631
cds2094;1073;151;2206;2453;479;510;2747;5680;1365
cds2095;1884;188;2295;1778;378;377;2285;5252;1075
cds2096;238;33;418;564;99;80;713;1562;307
cds2097-hypothetical-protein-DCF24_00910;225;16;508;1037;184;191;897;1538;861
cds2098-DUF1348-domain-containing-protein;234;29;424;931;134;107;704;1450;487
cds2099;270;30;577;664;181;161;955;2267;582
cds209-hypothetical-protein;232;16;609;908;161;184;833;2140;554
cds20-MFS-transporter;1040;159;2111;2464;694;643;2920;7711;2334
cds21;103;35;248;195;66;45;219;414;114
cds2100-cupin-domain-containing-protein;416;36;797;855;149;181;767;1128;694
cds2101-prohibitin-family-protein;670;125;865;1390;227;222;1258;2880;786
cds2102-hypothetical-protein;683;175;1164;1044;299;309;1395;2522;1007
cds2103;1228;167;3772;4954;1399;1341;5723;13531;4460
cds210-4Fe-4S-dicluster-domain-containing-protein;170;13;465;651;64;108;476;786;467
cds2104-hypothetical-protein;485;32;1183;2133;416;472;1841;4318;1905
